,Rank,Artist,Album,Total,Daily
353,354,Jack Harlow,Thats What They All Say,1620180326,1987707
354,355,Little Mix,Get Weird (Expanded Edition),1617372235,756429
355,356,Eminem,Revival,1614454986,357456
356,357,SAINt JHN,While The World Was Burning,1611312941,924383
357,358,Rae Sremmurd,SremmLife 2 (Deluxe),1603477549,408844
358,359,KAROL G,OCEAN,1603433656,683736
359,360,French Montana,Jungle Rules,1600517053,451883
360,361,Coldplay,Viva La Vida (Prospekt's March Edition),1600160418,715431
361,362,Lil Peep,"Come Over When You're Sober, Pt. 1",1597843120,827388
362,363,David Guetta,One More Love (Deluxe),1588032020,1282939
363,364,21 Savage,i am > i was (Deluxe),1587087962,855253
364,365,Queen,Jazz (Deluxe Edition 2011 Remaster),1580384734,936414
365,366,JAY-Z,Watch The Throne (Deluxe),1579322150,935118
366,367,Arctic Monkeys,Favourite Worst Nightmare,1566509214,1263383
367,368,BTS,Love Yourself 承 'Her',1566224495,982578
368,369,Mau y Ricky,Para Aventuras y Curiosidades,1562943745,506883
369,370,Travis Scott,Rodeo (Expanded Edition),1562452883,891193
370,371,Lil Tjay,True 2 Myself,1561219806,1275280
371,372,Gorillaz,Demon Days,1559592032,1008790
372,373,Coldplay,Mylo Xyloto,1548770255,641862
373,374,Conan Gray,Kid Krow,1546206076,1773646
374,375,Miley Cyrus,The Time Of Our Lives (International Version),1541615159,974307
375,376,Of Monsters and Men,My Head Is An Animal,1539261000,713505
376,377,Kendrick Lamar,To Pimp A Butterfly,1535655221,610827
377,378,H.E.R.,H.E.R.,1527978126,716232
378,379,Ellie Goulding,Brightest Blue,1526929886,562609
379,380,Taylor Swift,evermore (deluxe version),1525118354,2792752
380,381,Playboi Carti,Playboi Carti,1524009421,1128347
381,382,OMI,Me 4 U,1521916763,404786
382,383,Mumford & Sons,Sigh No More,1519256932,509143
383,384,Daft Punk,Random Access Memories,1517859674,692729
384,385,Meek Mill,Championships,1517779482,559251
385,386,24kGoldn,El Dorado,1516355101,1525382
386,387,Mark Ronson,Uptown Special,1515265759,596132
387,388,Pitbull,Global Warming: Meltdown (Deluxe Version),1512993474,913652
388,389,Red Hot Chili Peppers,By the Way (Deluxe Edition),1511724696,832145
389,390,Miley Cyrus,Plastic Hearts,1510703668,1719409
390,391,5 Seconds of Summer,5 Seconds Of Summer (Deluxe),1510588337,584448
391,392,Maluma,11:11,1507221194,571454
392,393,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version],1503716241,1162898
393,394,alt-J,An Awesome Wave (Deluxe Version),1498939867,649353
394,395,J. Cole,Born Sinner (Deluxe Version),1495808833,1176486
395,396,Machine Gun Kelly,Tickets To My Downfall (SOLD OUT Deluxe),1491735577,1888148
396,397,Jack Ü,Skrillex and Diplo present Jack Ü,1487834839,270944
397,398,fun.,Some Nights (Deluxe),1486653215,639030
398,399,Fifth Harmony,Reflection (Japan Deluxe Edition),1486502726,378060
399,400,Demi Lovato,Demi (Deluxe),1484690910,718487
400,401,Myke Towers,Easy Money Baby,1481925661,943310
401,402,blink-182,Enema Of The State,1481548492,831189
402,403,Nicki Minaj,Pink Friday ... Roman Reloaded (Deluxe Edition),1480116124,729012
403,404,Childish Gambino,Because the Internet,1477869507,515836
404,405,Justin Bieber,Believe (Deluxe Edition),1477061927,664128
405,406,Coldplay,X&Y,1474866320,738157
406,407,KYLE,Light of Mine (Deluxe),1474482888,352926
407,408,Big Sean,I Decided.,1470244768,275334
408,409,Sam Hunt,Montevallo,1467984558,375581
409,410,Mustard,Perfect Ten,1467107083,726680
410,411,Childish Gambino,"""Awaken, My Love!""",1463556028,656440
411,412,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",1457274970,505554
412,413,Eminem,Relapse: Refill,1456209855,590608
413,414,George Ezra,Wanted on Voyage (Expanded Edition),1455936882,470511
414,415,"Tyler, The Creator",IGOR,1454294765,1603930
415,416,Taylor Swift,Fearless (Platinum Edition),1453758691,860187
416,417,Enrique Iglesias,SEX AND LOVE (Deluxe),1448865787,448771
417,418,Milky Chance,Sadnecessary,1446070052,716544
418,419,Florence + The Machine,Lungs (Deluxe Edition),1445985811,796066
419,420,21 Savage,Issa Album,1443126947,433414
420,421,J. Cole,KOD,1442201349,419399
421,422,The Notorious B.I.G.,Life After Death (2014 Remastered Edition),1441970518,836091
422,423,J. Cole,4 Your Eyez Only,1441778142,483132
423,424,George Ezra,Staying at Tamara's,1438354158,560096
424,425,Kodak Black,Dying to Live,1437757064,495526
425,426,Eminem,Encore (Deluxe Version),1437235487,629031
426,427,Journey,Escape,1432139788,853572
427,428,Troye Sivan,Blue Neighbourhood (Deluxe),1430669854,352117
428,429,Big Sean,Dark Sky Paradise (Deluxe),1429602619,479151
429,430,AJR,The Click (Deluxe Edition),1426895827,695055
430,431,Dermot Kennedy,Without Fear (The Complete Edition),1426121617,1196947
431,432,Drake,Certified Lover Boy,1425166490,9279714
432,433,Kodak Black,Project Baby 2: All Grown Up (Deluxe Edition),1422925572,499289
433,434,U2,The Joshua Tree (Super Deluxe),1422529966,946261
434,435,Lil Pump,Lil Pump,1422456955,168616
435,436,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),1421888324,786605
436,437,Alesso,Forever,1421740710,398214
437,438,Nick Jonas,Last Year Was Complicated,1419175947,319736
438,439,Internet Money,B4 The Storm (Complete Edition),1417046496,1230068
439,440,OneRepublic,Human (Deluxe),1415475816,1723324
440,441,Sech,Sueños,1405570026,496922
441,442,MGMT,Oracular Spectacular,1405040991,708522
442,443,Polo G,Die A Legend,1404379251,1076590
443,444,Macklemore,GEMINI,1402771852,402156
444,445,Iggy Azalea,Reclassified,1401916848,437807
445,446,Future,High Off Life,1397639851,852199
446,447,Eagles,Hotel California (40th Anniversary Expanded Edition),1397096893,915605
447,448,Various Artists,8 Mile,1396324622,722764
448,449,Morgan Wallen,If I Know Me,1394076301,1213062
449,450,Lunay,Épico,1393781804,469170
450,451,Playboi Carti,Die Lit,1393220012,1847651
451,452,Reik,Ahora,1388489412,410474
452,453,Morat,Balas Perdidas (Edición Especial),1386565941,873379
453,454,Demi Lovato,Confident (Deluxe Edition),1384072798,498595
454,455,Queen,News Of The World (Deluxe Edition 2011 Remaster),1379909099,820300
455,456,Linkin Park,Minutes to Midnight,1375550108,688912
456,457,Joji,Nectar,1373740922,1656415
457,458,Florence + The Machine,Between Two Lungs,1372471702,769384
458,459,gnash,we,1372069843,389668
459,460,Jason Derulo,Everything Is 4,1369634009,278798
460,461,A$AP Rocky,TESTING,1369124242,848957
461,462,James Arthur,YOU,1367384787,666425
462,463,Tiësto,The London Sessions,1364840700,513758
463,464,Lil Wayne,Tha Carter IV (Deluxe),1362796024,687080
464,465,Aya Nakamura,NAKAMURA (Deluxe Edition),1361626253,688539
465,466,Wisin,Victory,1360791646,342907
466,467,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition),1359380458,1324510
467,468,Mumford & Sons,Babel (Deluxe Version),1346480529,378388
468,469,Green Day,Dookie,1343255206,781027
469,470,TOTO,Toto IV,1342161691,764622
470,471,Lost Frequencies,Less is More,1339177310,520749
471,472,Don Toliver,Heaven Or Hell,1338835819,1153549
472,473,Kanye West,Late Registration,1337878650,699524
473,474,John Mayer,Continuum,1335933879,589578
474,475,Lil Wayne,Tha Carter V (Deluxe),1331826544,438537
475,476,Chris Brown,X (Expanded Edition),1331409459,378970
476,477,Lana Del Rey,Lust For Life,1328321528,530088
477,478,Maroon 5,Hands All Over (Revised International Deluxe),1327183921,664742
478,479,The Neighbourhood,Wiped Out!,1322459837,1356258
479,480,Pink Floyd,The Dark Side Of The Moon (2011 Remastered Version),1320350335,-2620051
480,481,Florida Georgia Line,Here's To The Good Times...This Is How We Roll,1319001786,439190
481,482,Romeo Santos,Golden,1318308028,650528
482,483,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),1316460265,799689
483,484,Evanescence,Fallen,1313134084,784520
484,485,Train,"Save Me, San Francisco (Golden Gate Edition)",1312523958,706258
485,486,Fall Out Boy,Save Rock And Roll,1310800278,443916
486,487,blackbear,everything means nothing,1309049228,943695
487,488,Nicki Minaj,Pink Friday (Complete Edition),1306070772,820563
488,489,Pearl Jam,Ten,1305815706,764821
489,490,Galantis,The Aviary,1303374414,253437
490,491,Lil Uzi Vert,Lil Uzi Vert vs. The World,1302462431,412598
491,492,Disclosure,ENERGY (Special Edition),1299769262,578912
492,493,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",1298682329,685285
493,494,Maluma,"Pretty Boy, Dirty Boy",1298579330,334035
494,495,Rauw Alejandro,VICE VERSA,1297026600,6060377
495,496,Avicii,TIM,1296009146,422840
496,497,6ix9ine,Day69: Graduation Day,1294041801,253090
497,498,Lady Gaga,Joanne (Deluxe),1287317328,405914
498,499,The Beatles,The Beatles,1285544179,744177
499,500,Skillet,Vital Signs,1285283838,658443
