Rank,Artist,Album,Total,EAS
221,Panic! At The Disco,Pray for the Wicked,2123863543,2120443
222,Dean Lewis,A Place We Knew,2107611829,2104218
223,BTS,You Never Walk Alone,2102811285,2099425
224,Rihanna,Loud,2093297699,2089927
225,Mabel,High Expectations,2093233905,2089863
226,Ellie Goulding,Halcyon Days,2088171928,2084809
227,Halsey,BADLANDS (Live From Webster Hall),2086670090,2083310
228,Tame Impala,Currents,2081367286,2078016
229,DNCE,DNCE,2075199062,2071857
230,Chance the Rapper,Coloring Book,2072054235,2068718
231,BTS,Love Yourself 轉 'Tear',2054984999,2051676
232,Trolls,TROLLS (Original Motion Picture Soundtrack),2051266304,2047963
233,Fetty Wap,Fetty Wap,2047142728,2043846
234,Calum Scott,Only Human (Special Edition),2041071119,2037784
235,Flo Rida,My House,2031925573,2028654
236,Lukas Graham,Lukas Graham (Blue Album),2026829483,2023566
237,Becky G,MALA SANTA,2024221575,2020962
238,Maroon 5,JORDI (Deluxe),2023303795,2020046
239,J Balvin,OASIS,2011847368,2008608
240,Joji,BALLADS 1,2011110138,2007872
241,Fifth Harmony,7/27 (Japan Deluxe Edition),2008489750,2005255
242,Danny Ocean,54+1,1997592111,1994375
243,Manuel Turizo,ADN,1996428082,1993213
244,Various Artists,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),1992232652,1989025
245,Future,FUTURE,1991637499,1988430
246,Maluma,F.A.M.E.,1985364700,1982168
247,Billie Eilish,Happier Than Ever,1974801033,1971621
248,My Chemical Romance,The Black Parade / Living with Ghosts (The 10th Anniversary Edition),1972803278,1969626
249,Axwell /\ Ingrosso,More Than You Know,1969063383,1965893
250,Khalid,Suncity,1966068973,1962903
251,Jason Derulo,Tattoos (Deluxe Edition),1965173740,1962009
252,Various Artists,Fifty Shades Darker (Original Motion Picture Soundtrack),1962509145,1959349
253,Halsey,hopeless fountain kingdom,1958735108,1955581
254,Jason Mraz,We Sing. We Dance. We Steal Things. (Deluxe Edition),1950303873,1947163
255,Twenty One Pilots,Vessel,1948031182,1944894
256,Beyoncé,4,1946463507,1943329
257,Panic! At The Disco,Death of a Bachelor,1944473663,1941342
258,System Of A Down,Toxicity,1943736529,1940607
259,John Legend,Love In The Future (Expanded Edition),1942548885,1939421
260,Jonas Brothers,Happiness Begins,1936465277,1933347
261,Miley Cyrus,Bangerz (Deluxe Version),1927189883,1924087
262,Demi Lovato,Tell Me You Love Me (Deluxe),1926805103,1923702
263,Robin Schulz,Prayer,1926783803,1923681
264,MEDUZA,Introducing MEDUZA,1924033500,1920935
265,Passenger,All the Little Lights (Deluxe Version),1922426574,1919331
266,Selena Gomez,Rare (Deluxe),1898004688,1894948
267,Nicki Minaj,Queen,1884887149,1881852
268,The Beatles,Abbey Road (Remastered),1883422131,1880389
269,2Pac,All Eyez On Me,1883168017,1880136
270,Pop Smoke,Meet The Woo 2 (Deluxe),1880236729,1877209
271,Pink Floyd,The Wall (Remastered),1876452961,1873431
272,Russ,There's Really A Wolf,1870556368,1867544
273,Red Hot Chili Peppers,Stadium Arcadium,1864421815,1861420
274,Coldplay,Ghost Stories,1861671321,1858673
275,Foster The People,Torches,1856317136,1853328
276,Kings of Leon,Only By The Night,1851624895,1848643
277,Fall Out Boy,American Beauty/American Psycho,1844280455,1841311
278,Lil Baby,My Turn (Deluxe),1839712998,1836750
279,Young Thug,So Much Fun (Deluxe),1834271293,1831318
280,Alec Benjamin,Narrated For You,1833741282,1830788
281,Drake,Dark Lane Demo Tapes,1824552649,1821615
282,Lorde,Melodrama,1823886686,1820950
283,BLACKPINK,THE ALBUM,1816472736,1813548
284,The Chainsmokers,Sick Boy,1812700821,1809782
285,Polo G,THE GOAT,1809998720,1807084
286,The Chainsmokers,World War Joy,1809451394,1806538
287,Bastille,Bad Blood (The Extended Cut),1808208920,1805297
288,Morgan Wallen,Dangerous: The Double Album (Bonus),1807671637,1804761
289,Bon Jovi,Slippery When Wet,1807333579,1804423
290,Jack Johnson,In Between Dreams,1803870253,1800965
291,Camilo,Por Primera Vez,1801635302,1798734
292,Adele,19,1801302643,1798402
293,Lady Gaga,Chromatica,1801161819,1798261
294,Coldplay,Parachutes,1794360160,1791471
295,BTS,MAP OF THE SOUL : PERSONA,1791749750,1788864
296,The Lumineers,The Lumineers (Deluxe Edition),1791680555,1788795
297,Maluma,PAPI JUANCHO,1789236588,1786355
298,Chris Brown,Heartbreak On A Full Moon Deluxe Edition: Cuffing Season - 12 Days Of Christmas,1786205422,1783329
299,Jess Glynne,Always in Between (Deluxe),1782194389,1779325
300,Rae Sremmurd,SremmLife,1774392154,1771535
301,J Balvin,Energía,1774074808,1771218
302,The Weeknd,"My Dear Melancholy,",1769144192,1766295
303,NF,The Search,1761832422,1758995
304,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),1761148280,1758312
305,G-Eazy,The Beautiful & Damned (Deluxe Edition),1760551497,1757716
306,Justin Bieber,My Worlds (Oz Version),1759079357,1756247
307,Various Artists,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),1757543422,1754713
308,Daniel Caesar,Freudian,1755507006,1752680
309,Kygo,Golden Hour,1753671671,1750848
310,A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),1746062521,1743251
311,Lil Skies,Life of a Dark Rose,1744781446,1741972
312,Logic,Everybody,1744130276,1741322
313,The Neighbourhood,I Love You.,1743457028,1740650
314,Dreamville,Revenge Of The Dreamers III: Director's Cut,1742297151,1739492
315,Nicky Jam,Intimo,1740847165,1738044
316,Rihanna,Talk That Talk (Deluxe),1737119886,1734323
317,Nio Garcia,Now Or Never,1735040327,1732246
318,Ozuna,Enoc,1723117625,1720343
